City,Bedrooms,Building Area (m²),Land Area (m²),Price
tangerang,3,199,144,6140000000
tangerang,3,70,62,774000000
tangerang,5,158,128,3700000000
tangerang,5,744,563,20000000000
tangerang,4,87,62,843000000
tangerang,4,400,126,4500000000
tangerang,5,242,171,6040000000
tangerang,4,144,84,3450000000
tangerang,5,192,128,4200000000
tangerang,4,237,180,6200000000
tangerang,3,144,118,3520000000
tangerang,6,400,128,4500000000
tangerang,3,114,105,1800000000
tangerang,3,114,105,1800000000
tangerang,3,73,95,762460000
tangerang,4,237,180,7350000000
tangerang,3,64,62,872640000
tangerang,3,120,162,3500000000
tangerang,9,500,250,14000000000
tangerang,3,114,105,1800000000
tangerang,4,220,214,8000000000
tangerang,1,57,48,1050000000
tangerang,1,57,48,1050000000
tangerang,3,180,181,4850000000
tangerang,3,88,84,1950000000
tangerang,5,361,264,11500000000
tangerang,3,108,108,1950000000
tangerang,3,150,90,2049999999
tangerang,3,70,60,1500000000
tangerang,5,160,160,4000000000
tangerang,3,238,211,4500000000
tangerang,3,76,63,1550000000
tangerang,4,77,60,1300000000
tangerang,2,83,119,2000000000
tangerang,4,176,120,4500000000
tangerang,3,88,90,2100000000
tangerang,6,190,136,3100000000
tangerang,5,190,136,3200000000
tangerang,3,150,108,2450000000
tangerang,2,110,77,2300000000
tangerang,4,97,119,2300000000
tangerang,3,105,84,1750000000
tangerang,4,182,170,3700000000
tangerang,2,116,120,3900000000
tangerang,4,220,191,2800000000
tangerang,4,205,152,5420000000
tangerang,4,454,498,19280000000
tangerang,3,260,180,5350000000
tangerang,3,76,38,705670000
tangerang,3,560,200,15000000000
tangerang,3,250,133,3100000000
tangerang,5,158,128,3720000000
tangerang,4,286,276,9900000000
tangerang,4,182,170,3700000000
tangerang,3,101,84,2280000000
tangerang,3,200,202,3900000000
tangerang,4,256,200,4200000000
tangerang,3,110,144,1900000000
tangerang,2,70,60,1300000000
tangerang,4,161,128,2800000000
tangerang,5,286,291,9500000000
tangerang,5,155,144,4099999999
tangerang,3,88,84,2150000000
tangerang,3,120,104,1300000000
tangerang,4,240,250,5950000000
tangerang,3,95,66,2040000000
tangerang,4,428,451,4500000000
tangerang,3,80,72,2000000000
tangerang,4,256,200,4200000000
tangerang,3,100,120,1850000000
tangerang,4,182,170,3700000000
tangerang,5,138,214,3500000000
tangerang,5,89,84,3000000000
tangerang,3,95,66,2040000000
tangerang,2,75,72,1750000000
tangerang,4,160,162,3200000000
tangerang,3,100,90,1800000000
tangerang,5,136,156,3750000000
tangerang,4,260,200,4600000000
tangerang,3,115,72,1300000000
tangerang,3,220,170,5400000000
tangerang,2,150,75,1650000000
tangerang,2,87,119,2500000000
tangerang,2,87,119,2500000000
tangerang,3,125,72,2700000000
tangerang,4,150,160,4400000000
tangerang,5,144,155,4200000000
tangerang,4,240,160,4200000000
tangerang,4,196,240,6250000000
tangerang,4,148,105,1980000000
tangerang,4,88,63,848000000
tangerang,4,155,80,2430000000
tangerang,3,65,63,807000000
tangerang,2,55,63,719000000
tangerang,4,216,288,7500000000
tangerang,11,142,70,2800000000
tangerang,4,160,120,2950000000
tangerang,3,125,72,2450000000
tangerang,3,73,72,749800000
tangerang,4,225,278,5500000000
tangerang,3,220,170,5300000000
tangerang,3,71,62,776000000
tangerang,3,71,85,843000000
tangerang,3,92,84,2800000000
tangerang,4,204,225,4800000000
tangerang,5,125,112,1780000000
tangerang,2,55,114,1220000000
tangerang,4,175,112,3200000000
tangerang,3,169,160,4200000000
tangerang,2,46,90,2160000000
tangerang,2,58,48,1530000000
tangerang,2,55,60,888000000
tangerang,3,64,63,749000000
tangerang,3,83,45,630000000
tangerang,4,500,448,11800000000
tangerang,3,57,60,588140000
tangerang,4,198,128,5700000000
tangerang,2,55,55,1150000000
tangerang,3,180,120,2550000000
tangerang,4,450,297,6300000000
tangerang,3,350,249,4460000000
tangerang,8,180,90,2440000000
tangerang,3,140,119,3200000000
tangerang,4,99,90,2100000000
tangerang,4,150,108,1700000000
tangerang,4,130,118,3500000000
tangerang,4,162,153,2950000000
tangerang,2,68,56,1750000000
tangerang,4,181,135,5420000000
tangerang,4,192,128,4200000000
tangerang,4,192,128,6500000000
tangerang,4,300,210,3980000000
tangerang,3,88,225,1580000000
tangerang,4,277,171,6490000000
tangerang,4,160,136,2700000000
tangerang,2,45,40,800000000
tangerang,5,221,170,4000000000
tangerang,3,78,77,2000000000
tangerang,4,192,128,4400000000
tangerang,3,90,84,2200000000
tangerang,4,196,128,6800000000
tangerang,3,200,153,3750000000
tangerang,5,248,171,6180000000
tangerang,4,250,128,3000000000
tangerang,3,195,144,3400000000
tangerang,4,237,152,5680000000
tangerang,3,217,180,7500000000
tangerang,3,87,155,4000000000
tangerang,2,61,60,1500000000
tangerang,4,331,375,9900000000
tangerang,4,295,200,9460000000
tangerang,2,77,56,1350000000
tangerang,4,203,144,5200000000
tangerang,2,63,48,1720000000
tangerang,3,114,152,2800000000
tangerang,2,62,66,1680000000
tangerang,4,189,128,5200000000
tangerang,5,500,300,8000000000
tangerang,4,345,240,11190000000
tangerang,2,72,56,950000000
tangerang,2,75,72,1750000000
tangerang,4,278,192,7500000000
tangerang,4,184,150,4500000000
tangerang,4,328,300,9900000000
tangerang,6,250,200,4800000000
tangerang,5,380,200,8940000000
tangerang,4,144,84,2750000000
tangerang,3,64,62,870000000
tangerang,4,194,228,7000000000
tangerang,4,277,171,6580000000
tangerang,3,800,400,20000000000
tangerang,4,343,298,16270000000
tangerang,3,142,193,6500000000
tangerang,6,316,240,9500000000
tangerang,3,116,144,3700000000
tangerang,4,237,150,4740000000
tangerang,2,61,60,1500000000
tangerang,4,328,300,9720000000
tangerang,3,78,67,1050000000
tangerang,4,159,210,3900000000
tangerang,3,88,84,2150000000
tangerang,4,295,200,9400000000
tangerang,4,192,128,4260000000
tangerang,5,265,162,6320000000
tangerang,3,64,62,869740000
tangerang,4,454,498,24160000000
tangerang,4,194,162,3300000000
tangerang,3,80,121,1750000000
tangerang,4,198,128,4200000000
tangerang,3,200,202,3900000000
tangerang,4,300,144,4150000000
tangerang,2,80,85,1950000000
tangerang,3,144,84,3550000000
tangerang,3,43,72,685000000
tangerang,5,175,112,3200000000
tangerang,3,55,48,990000000
tangerang,3,120,84,2700000000
