Title,Address,Price,Bedrooms,Building Area (m²),Land Area (m²),rejection_reason
rumah tingkat 2.5 lantai mewah baru strategis hoki kawasan elite murah," medan satria, bekasi",rp 2m,5.0,1m²,1m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual kontrakan 8 pintu 3 petak bebas banjir lingkungan asri," jatiasih, bekasi","rp 1,40m",8.0,1m²,190m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah cantik scandinavian di jatiluhur jatiasih - bekasi," jatiasih, bekasi","rp 1,58m",108.0,2m²,158m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual tanah zona perumahan di jatiasih bekasi," jatiasih, bekasi",rp 20m,7.0,120m²,2085m²,Unrealistically high price for building area; 
rumah subsidi pondok permata babelan,"jl.raya pertamina kel.bunibakti kec.babelan kabupaten bekasi  babelan, bekasi",rp 120jt,2.0,6m²,60m²,Impossible bedroom density; 
di jual rumah bagus murah siap huni,"villa gading harapan 3 babelan, bekasi",rp 350jt,2.0,45350m²,60m²,Impossible building-to-land ratio; 
dijual hunian di pondok ungu sektor harga cekatann (k0945),"jalan pondok ungu permai sektor v bahagia, bekasi kabupaten 17612, indonesia babelan, bekasi",rp 380jt,2.0,5m²,60m²,Impossible bedroom density; 
rumah siap huni di pondok cipta bintara – harga terjangkau ," bekasi barat, bekasi",rp 600jt,2.0,60m²,1m²,Impossible building-to-land ratio; 
"rumah murah banget turun harga lagi di griya bintara, 5mnt pondok kopi","griya bintara , bekasi barat, 5 menit pondok kopi bekasi barat, bekasi","rp 1,30m",250.0,225m²,5m²,Impossible bedroom density; Impossible building-to-land ratio; 
rumah murah daerah jatiasih bekasi," bekasi barat, bekasi",rp 950jt,31.0,50m²,90m²,Impossible bedroom density; 
new townhouse sentosa resident bekasi," bekasi barat, bekasi","rp 1,20m",3.0,80m²,2000m²,Unrealistically low price for land area; 
cluster townhouse sentosa resident bekasi," bekasi barat, bekasi","rp 1,20m",3.0,75m²,2000m²,Unrealistically low price for land area; 
dijual rumah bagus di pondok gede timur," pondok gede, bekasi","rp 1,25m",23.0,90m²,130m²,Impossible bedroom density; 
super murah !! rumah siap huni halaman belakang 10 menit tol cibubur," jatisampurna, bekasi","rp 1,20m",3.0,80m²,2025m²,Unrealistically low price for land area; 
dijual rumah minimalis modern murah di kranggan bekasi,"jalan raya kranggan, bekasi kota, indonesia jatisampurna, bekasi",rp 750jt,32.0,70m²,48m²,Impossible bedroom density; 
rumah kontrakan baru 16 pintu di bekasi selatan," bekasi selatan, bekasi",rp 7m,2.0,28m²,750m²,Unrealistically high price for building area; 
rumah baru di perum 1 kranji,"komplek perumnas 1 kayuringin. kranji bekasi selatan, bekasi","rp 1,35m",34.0,130m²,100m²,Impossible bedroom density; 
over kredit 55jt bogor asri cibinong - posisi hook,"kampung kandang roda, bogor kabupaten, 16912, indonesia cibinong, bogor",rp 55jt,2.0,45m²,98m²,Unrealistically low price for land area; 
take over rumah dp49jt ccln 2jtan dkt stasiun @ grand raya tajurhalang," cibinong, bogor","rp 49,01jt",2.0,36m²,72m²,Unrealistically low price for land area; 
hunian dijual minimalis lt 90 di perumahan nirwana estate bekasi,"jalan nirwana estate, pakansari kel., cibinong, bogor kabupaten, 16915, indonesia cibinong, bogor",rp 775jt,2.0,1m²,90m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah minimalis modern di bogor dekat jakarta termurah,"cilandak, jakarta, jabodetabek, indonesia cileungsi, bogor",rp 185jt,2.0,2m²,60m²,Impossible bedroom density; 
perumahan 2 lantai dicibubur hanya 600 jutaan 8 menit ke pintu tol," cileungsi, bogor",rp 660jt,23.0,55m²,60m²,Impossible bedroom density; 
dijual rumah hunian idaman citra indah 5834a,"jl raya cibubur cileungsi  cileungsi, bogor",rp 485jt,1.0,10m²,10m²,Impossible bedroom density; 
dijual rumah kost 10 kamar siap pakai daerah cileungsi bogor ," cileungsi, bogor","rp 1,30m",10.0,90m²,300m²,Impossible bedroom density; 
dijual over kredit rumah grand nusa indah cileungsi," cileungsi, bogor","rp 395,40jt",2.0,631m²,62m²,Impossible building-to-land ratio; 
jual cepat rumah kota wisata cibubur dekat tol kota wisata cibubur,"kota wisata cibubur cileungsi, bogor","rp 1,48m",34.0,135m²,105m²,Impossible bedroom density; 
dijual cepat rumah baru kota wisata mulai dari 3m-an gaya american ,"jalan raya kota wisata, gunung putri, bogor kabupaten, 16968, indonesia cileungsi, bogor",rp 3m,5.0,1m²,120m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual murah rumah plus warung dalam cluster ciputra citra indah city,"jl cibubur cileungsi cileungsi, bogor",rp 250jt,3.0,21m²,60m²,Impossible bedroom density; 
yw. dijual cepat rumah legenda wisata siap huni 2lantai ,"legenda wisata cileungsi, bogor","rp 2,10m",5.0,156m²,5m²,Impossible building-to-land ratio; 
rumah dp 0% free ppn  meranti 1a citra indah city timur cibubur,"jl. raya jonggol km 23.2 - kec. jonggol cileungsi kab. bogor 16830 jonggol, bogor",rp 271jt,221.0,22m²,72m²,Impossible bedroom density; 
dijual rumah tinggal asri perumahan citra indah city," jonggol, bogor","rp 1,29m",3.0,1m²,222m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah murah siap huni 3 lt newly renovated kota wisata cibubur," gunung putri, bogor","rp 2,70m",4.0,3m²,180m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual cepat rumah di legenda wisata cibubur ,"legenda wisata cibubur  gunung putri, bogor","rp 1,20m",3.0,60m²,2m²,Impossible building-to-land ratio; 
lagoon park cluster terbaru di bukit golf dengan type modern,"jalan desa gunung putri, gunung putri, bogor kabupaten, 16961, indonesia gunung putri, bogor","rp 1,10m",3.0,1m²,1m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah cantik sudah renovasi di kotawisata cibubur," gunung putri, bogor","rp 1,65m",3.0,15m²,105m²,Impossible bedroom density; 
rumah siap huni di kota wisata cibubur cluster pesona toronto,"cluster pesona toronto gunung putri, bogor","rp 1,70m",2.0,2m²,105m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah dengan tanah luas full furnish di bukit golf riverside arcadia h," gunung putri, bogor","rp 1,25m",21.0,45m²,213m²,Impossible bedroom density; 
(ls) dijual cepat turun harga rumah 2lt  murah di kota wisata," gunung putri, bogor","rp 2,10m",45.0,200m²,180m²,Impossible bedroom density; 
"dijual rumah nyaman di kota wisata, cibubur","kota wisata gunung putri, bogor","rp 4,70m",5.0,240m²,4m²,Impossible building-to-land ratio; 
dijual cepat rumah 2lt siap huni di kota wisata di dalam cluster,"kota wisata gunung putri, bogor","rp 2,45m",4.0,16m²,180m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah baru siap huni swiming pool best view lokasi cluster depan ,"cluster taman yunani sentul city sentul city, bogor","rp 4,20m",4.0,1m²,216m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah baru minimalis klasik di legian sentul city - by owner,"cluster taman legian sentul city, bogor","rp 2,20m",3.0,3200m²,140m²,Impossible building-to-land ratio; 
tanah or kavling cluster bgh sentul city,"sentul city sentul city, bogor","rp 1,40m",3.0,10m²,180m²,Impossible bedroom density; 
 dijual rumah nyaman sejuk bagus furnis deket victoria sentul ssr422," sentul city, bogor",rp 490jt,3.0,30m²,61m²,Impossible bedroom density; 
dijual rumah baru 2 lantai klasik minimalis di venesia sentul city,"sentul city sentul city, bogor","rp 1,80m",160.0,23m²,105m²,Impossible bedroom density; 
" dijual rumah+swimmingpool di cluster hilltop, sentul city ssr626 a26"," sentul city, bogor","rp 4,70m",5.0,250m²,2m²,Impossible building-to-land ratio; 
rumah sentul city murah cluster depan argenia ," sentul city, bogor","rp 1,75m",3.0,130m²,2m²,Impossible building-to-land ratio; 
di jual rumah taman parahyangan golf,"jl situ indah golf,taman parahyangan,sentul city, bogor jawa barat sentul city, bogor",rp 13m,7.0,600m²,1m²,Impossible building-to-land ratio; 
over kredit dp murah 35jt di ciseeng bogor di bentang village," gunung sindur, bogor","rp 35,02jt",2.0,40m²,60m²,Unrealistically low price for land area; 
rumah free dp cukup 2jt all in dekat stasiun cilebut,"jl kencana kelurahan kencana kecamatan tanah sareal bogor kota  tanah sareal, bogor",rp 720jt,23.0,70m²,72m²,Impossible bedroom density; 
dijual cepat rumah free biaya akad bukit cimanggu city tanah luas," tanah sareal, bogor","rp 1,56m",34.0,150m²,106m²,Impossible bedroom density; 
jual kosan syak ipb (4 kamar) dekat (kampus ipb) kost baru bogor barat," bogor barat - kota, bogor",rp 825jt,4.0,62m²,30000m²,Unrealistically low price for land area; 
jual kosan syak ipb (4 kamar) dekat (kampus ipb) kost baru bogor barat," bogor barat - kota, bogor",rp 825jt,4.0,60m²,30000m²,Unrealistically low price for land area; 
"dijual rumah 1 lantai estetik dan strategis di bogor, jawa barat.","bogor bogor barat - kota, bogor",rp 75m,7.0,250m²,3460m²,Unrealistically high price for building area; 
rumah villa + kebun buah2an  di  leuwiliang bogor  jual cepat,"jl. leuwibatu bogor barat - kota, bogor","rp 1,50m",1.0,80m²,4975m²,Unrealistically low price for land area; 
dijual rumah mewah dalam perumahan bojonggede bogor ,"perumahan bojong depok baru 1 blok ne 5 ( gaperi 1 )  bojonggede, bogor",rp 750jt,21.0,90m²,124m²,Impossible bedroom density; 
dijual rumah terlaris termurah viral dekat stasiun citayam dpnol," bojonggede, bogor","rp 478,40jt",2.0,36m²,500000m²,Unrealistically low price for land area; 
dijual rumah terlaris termurah viral dekat stasiun citayam depok ," bojonggede, bogor","rp 556,70jt",3.0,53m²,500000m²,Unrealistically low price for land area; 
dijual murah rumah siap huni di bojonggede gratis motor matic,"bojonggede kabupaten bogor jawa barat bojonggede, bogor",rp 492jt,40.0,1m²,72m²,Impossible bedroom density; Unrealistically high price for building area; 
